                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.9696,                 6.4364,                 4.4351,                      0,                      0,                      0,                      0,                 6.3863,                 5.3867,                  4.164,                  8e-05,                  8e-05,                  8e-05
                      2,                 5.7733,                 6.2204,                 4.2093,                      0,                      0,                      0,                      0,                  6.392,                 5.3951,                 4.1735,             0.00016832,             0.00016832,             0.00016832
                      3,                 4.7319,                 5.1104,                 4.0462,                      0,                      0,                      0,                      0,                 6.4037,                 5.4203,                 4.1967,             0.00025485,             0.00025485,             0.00025485
                      4,                 3.8919,                 4.1461,                 3.8761,                      0,                      0,                      0,                      0,                 6.4184,                 5.3504,                 4.2266,              0.0003396,              0.0003396,              0.0003396
                      5,                 3.3956,                 3.4322,                 3.4002,                      0,                      0,                      0,                      0,                 6.4444,                 5.4063,                 4.2839,             0.00042258,             0.00042258,             0.00042258
                      6,                  2.813,                 3.3459,                 3.2541,                      0,                      0,                      0,                      0,                 6.4707,                 5.3609,                 4.3422,             0.00050377,             0.00050377,             0.00050377
                      7,                  2.731,                 2.7316,                 2.7461,                      0,                      0,                      0,                      0,                 6.4893,                  4.902,                 4.3817,             0.00058317,             0.00058317,             0.00058317
                      8,                 2.5472,                 2.5008,                 2.6625,                      0,                      0,                      0,                      0,                 6.4943,                  4.915,                 4.3929,              0.0006608,              0.0006608,              0.0006608
                      9,                 2.4346,                  2.374,                  2.291,                      0,                      0,                      0,                      0,                 6.4865,                 4.8806,                 4.3651,             0.00073664,             0.00073664,             0.00073664
                     10,                 2.2091,                 2.0724,                 2.1381,                      0,                      0,                      0,                      0,                 6.4507,                  4.851,                 4.2701,              0.0008107,              0.0008107,              0.0008107
                     11,                 2.3112,                 2.1803,                 2.0688,                      0,                      0,                      0,                      0,                 5.5284,                 4.6562,                 3.6962,             0.00088298,             0.00088298,             0.00088298
                     12,                 2.1902,                 1.9817,                 1.9125,                0.02724,                0.55873,                0.35855,                0.16448,                 2.2472,                 3.0337,                 2.4421,              0.0008911,              0.0008911,              0.0008911
                     13,                 2.0968,                 1.8029,                 1.8537,                0.67878,                 0.3115,                0.52971,                 0.2211,                 2.2367,                 2.5467,                 2.1711,              0.0008812,              0.0008812,              0.0008812
                     14,                 2.0489,                 1.6735,                 1.7515,                0.67327,                0.37207,                0.57266,                0.21958,                 2.1823,                 2.3808,                 1.9911,              0.0008713,              0.0008713,              0.0008713
